Category,Full Street Address,Source
Sanitation & Environment,52-35 58th St Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,52-35 58th St Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,52-35 58th St Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,48-01 58th Rd Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,58-73 53rd Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,120-15 31st Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,130-23 150th Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,132-05 Atlantic Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,130-23 150th Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,75-05 Winchester Blvd Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,130-23 150th Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,153-67 146th Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,51-10 Almeda Ave Queens NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,539 Jersey St Staten Island NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,2500 Richmond Ave Staten Island NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Sanitation & Environment,1000 West Service Rd Staten Island NY,https://www.nyc.gov/site/dsny/about/about-dsny/garage-locations.page
Public Works & Transportation,745 E 141st St Bronx NY,https://www.mapquest.com/us/new-york/nypd-bronx-tow-pound-303825826
Public Works & Transportation,26 Navy St Brooklyn NY,https://www.waze.com/live-map/directions/nypd-tow-pound-brooklyn-navy-st-26?to=place.w.187433367.1874464742.2554343
Public Works & Transportation,3122 College Point Blvd Queens NY,https://www.mapquest.com/us/new-york/nypd-queens-tow-pound-433897321
Public Works & Transportation,32-11 Harper St Corona NY 11368,https://www.nyc.gov/assets/designcommission/downloads/pdf/6-20-23-DDC-c-HarperStreetAdminBuilding.pdf
Public Works & Transportation,448 Hamilton Ave Brooklyn NY 11232,https://www.waze.com/live-map/directions/nyc-asphalt-plant-hamilton-ave-448-brooklyn?to=place.w.187433367.1874333667.2569646
Public Works & Transportation,34-02 Queens Blvd Long Island City NY 11101,https://www.nyc.gov/html/dot/downloads/pdf/street-light-relocation.pdf
Public Works & Transportation,28-11 Queens Plaza North Long Island City NY 11101,https://6tocelebrate.org/site/new-york-city-departments-of-education-and-transportation-building/
Public Works & Transportation,58-50 57th Rd Maspeth NY 11378,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=124577115
Parks & Recreation,1 Bronx River Parkway Bronx NY 10462,https://streetworksmanual.nyc/appendices/appendixd
Parks & Recreation,95 Prospect Park West Brooklyn NY 11215,https://streetworksmanual.nyc/appendices/appendixd
Parks & Recreation,24 W 61st St 5th Fl New York NY 10023,https://streetworksmanual.nyc/appendices/appendixd
Parks & Recreation,80-30 Park Lane Kew Gardens NY 11415,https://streetworksmanual.nyc/appendices/appendixd
Parks & Recreation,1150 Clove Rd Staten Island NY 10301,https://streetworksmanual.nyc/appendices/appendixd
Utilities (Water/Power),96-05 Horace Harding Expy 3rd Fl Low-Rise Queens NY 11368,https://www.nyc.gov/assets/dep/downloads/pdf/about/water-and-sewer-forms/bwso-local-office-consolidation-memo-10-13-23.pdf
Utilities (Water/Power),250 Livingston St 8th Fl Brooklyn NY 11201,https://www.nyc.gov/site/dep/news/101323/bronx-staten-island-queens-bwso-local-office-consolidation
Utilities (Water/Power),1932 Arthur Ave 6th Fl Bronx NY 10457,https://www.nyc.gov/site/dep/pay-my-bills/customer-service.page
Utilities (Water/Power),345 Adams St 9th Fl Brooklyn NY 11201,https://www.nyc.gov/site/dep/pay-my-bills/customer-service.page
Utilities (Water/Power),55 W 125th St 9th Fl New York NY 10027,https://www.nyc.gov/site/dep/pay-my-bills/customer-service.page
Utilities (Water/Power),59-17 Junction Blvd 9th Fl Queens NY 11373,https://www.nyc.gov/site/dep/pay-my-bills/customer-service.page
Utilities (Water/Power),60 Bay St 6th Fl Staten Island NY 10301,https://www.nyc.gov/site/dep/pay-my-bills/customer-service.page
Housing Buildings & Code,1932 Arthur Ave 3rd Fl Bronx NY 10457,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,701 Euclid Ave Brooklyn NY 11208,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,345 Adams St Brooklyn NY 11201,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,94 Old Broadway 7th Fl New York NY 10027,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,120-55 Queens Blvd Kew Gardens NY 11415,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,10 Richmond Terrace Staten Island NY 10301,https://portal.311.nyc.gov/article/?kanumber=KA-01073
Housing Buildings & Code,100 Gold St New York NY 10038,https://www.nyc.gov/site/hpd/contact/contact.page
Health & Human Services,125 Worth St New York NY 10013,https://nyc-business.nyc.gov/nycbusiness/description/information-about-pest-control
